idAsset,name,initials,institutionName,institutionInitials,city,state,hasSharing,about
44267,Biblioteca do ITAL,Bib-Ital,Instituto de Tecnologia de Alimentos,Ital,Campinas,SP,False,"Especializada nas áreas de Tecnologia de Alimentos e Embalagem, sendo referência no suporte às atividades de pesquisa e desenvolvimento da instituição. Atende pesquisadores, alunos e docentes dos cursos de pós-graduação, estagiários, além de outras instituições de pesquisa, escolas, universidades, órgãos governamentais, empresas privadas e usuários do setor agroindustrial."
42018,Biblioteca João Paulo II,Biblioteca - Palmas,"Instituto Federal de Educação, Ciência e Tecnologia do Tocantins",IFTO,Palmas,TO,False,"A Biblioteca João Paulo II, do Instituto Federal de Educação, Ciência e Tecnologia do Tocantins (IFTO) – Campus Palmas, constitui-se como infraestrutura estratégica de apoio às atividades de ensino, pesquisa, extensão, cultura e inovação, atendendo aproximadamente 4 mil usuários entre estudantes, servidores e comunidade externa. Seu acervo é composto por cerca de 40 mil exemplares, incluindo obras científicas, técnicas, literárias, produções institucionais e um conjunto expressivo de aproximadam"
21324,Biblioteca Octavio Ianni,BOI - IFCH UNICAMP,Universidade Estadual de Campinas,UNICAMP,Campinas,SP,True,"A Biblioteca Octavio Ianni está integrada ao Sistema de Bibliotecas da Unicamp (SBU), e destaca-se como uma das principais bibliotecas de Filosofia e Ciências Humanas do Brasil e da AméricaLatina, com mais de 200 mil itens físicos em seu acervo. Abriga, ainda, Bases de Dados e coleções digitais e oferece treinamento técnico aos usuários, possibilitando amplo uso de suas diversas fontes de informação e pesquisa"
41792,BIBLIOTECA RÔMULO ALMEIDA,BRA,SUPERINTENDENCIA DE ESTUDOS ECONOMICOS E SOCIAIS DA BAHIA,SEI,Salvador,BA,False,"A BRA possui um dos maiores acervos nacionais especializados em planejamento e desenvolvimento, com ênfase na Bahia, os quais contemplam conhecimentos associados às ciências sociais aplicadas e às ciências humanas, principalmente. Contém, pois, títulos afeitos aos campos da história política, econômica e administrativa do Brasil, da administração pública e das políticas públicas, bem como temas correlatos à cultura, educação, demografia e meio ambiente."
32121,Biblioteca Universitária,BU,Fundação Educacional da Região de Joinville,FURJ,Joinville,SC,False,"A BU oferece um acervo físico de aproximadamente 91 mil livros e outros materiais bibliográficos, 150 mil volumes e 2 mil periódicos, 67.000 exemplares para consulta e empréstimo. Além disso, disponibiliza um acervo virtual na plataforma Minha Biblioteca com mais de 12.000 títulos das principais editoras do país e acesso às bases de dados. A instituição proporciona apoio didático, científico e pedagógico, atendendo tanto a comunidade acadêmica quanto à externa."
41347,Biblioteca Universitária Professor Martinho Cardoso da Veiga,BU FURB,Fundação Universidade Regional de Blumenau,FURB,Blumenau,SC,False,"A Biblioteca Universitária Professor Martinho Cardoso da Veiga da FURB é uma das maiores de Santa Catarina, com quase 8.000 m² e acervo diversificado, incluindo livros, materiais audiovisuais, obras raras e acesso a bases científicas. Formada pela Biblioteca Central (Campus 1) e Setorial (Campus 2), com ambientes climatizados, espaços de estudo, área multimídia e acessibilidade."
38108,Bibliotheca Gonçalo Moniz - Memória da Saúde Brasileira,BGM,Universidade Federal da Bahia,UFBA,Salvador,BA,False,"A Bibliotheca Gonçalo Moniz (BGM), da Faculdade de Medicina da Bahia da Universidade Federal da Bahia (FMB/UFBA), tem por missão guardar, preservar e difundir obras históricas importantes para a memória da saúde na Bahia e no Brasil. Criada em 1832, possui aproximadamente, 100 mil volumes entre teses, livros, folhetos e periódicos das áreas de ciências da saúde, ciências naturais e história publicados desde 1557."
25131,BINGO/UFCG,BINGO/UFCG,Universidade Federal de Campina Grande,UFCG,Aguiar,PB,False,"O laboratório BINGO/UFCG, parte do projeto internacional BINGO (UFCG, USP, INPE, Jiao Tong University, Yangzhou University e diversas outras), está construindo um radiotelescópio para mapear a emissão de hidrogênio neutro no sertão da Paraíba. Na UFCG, o laboratório tem se dedicado a desenvolver os receptores, análises de dados pesquisas em Comologia. O sítio do BINGO está localizado em Aguiar-PB, tendo já um centro de comando e outras instalações. https://bingotelescope.org/"
46814,Bio,Bioinovar,Universidade Federal do Rio de Janeiro,UFRJ,Rio de Janeiro,RJ,False,O laboratorio Bioinovar desenvolve Estudos e pesquisa em Catálise Enzimática microbiana e Bioprodutos Microbianos voltados para o setor industrial em geral incluindo o de Bioenergia e cosméeticos . O laborotório desenvolve projetos de inovação com empresas como a shell e Petrobras
1580,Bioativos,LABBIO/UNIRIO/PPGAN,Universidade Federal do Estado do Rio de Janeiro,UNIRIO,Rio de Janeiro,RJ,False,"O laboratório de bioativos é um laboratório multifuncional, atuando nas atividades de ensino, pesquisa e extensão. É um dos laboratórios do programa de pós-graduação em alimentos e nutrição (PPGAN) e é coordenado pela Profa. Dra. Édira Castello Branco de Andrade Gonçalves. Informações adicionais das atividades do LABBIO/UNIRIO/PPGAN -  http://www.youtube.com/c/LabBioPPGANUNIRIO;  http://www.unirio.br/nutricaoesaude  "
